,Player,Season,Team,Pos,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Passes Defended,Interceptions Caught,Interception Yards,Interceptions Returned for Tds,Forced Fumbles,Fumbles Recovered,Fumbles Recovered For Tds,Fumbles Recovered For a Turnover
0,Hroniss Grasu,2020,LV,C,,,,,,,,,0.0,,,,
1,Nick Gates,2020,NYG,C,,,,,,,,,0.0,,,,
2,Ethan Pocic,2020,SEA,C,,,,,,,,,0.0,,,,
3,Jonotthan Harrison,2021,ATL,C,,,,,,,,,0.0,,,,
4,Trystan Colon,2021,BAL,C,,,,,,,,,,,,0.0,
5,Brian Allen,2021,LAR,C,,,,,,,,,0.0,,,,
6,Andre James,2021,LV,C,,,,,,,,,,,,0.0,
7,Andre James,2021,LV,C,,,,,,,,,0.0,,,,
8,Jason Kelce,2021,PHI,C,,,,,,,,,,,,0.0,
9,Tyler Biadasz,2021,,C,,,,,,,,,0.0,,,,
10,Ben Brown,2022,ARI,C,,,,,,,,,,,,0.0,
11,Joe Tippmann,2022,NYJ,C,,,,,,,,,0.0,,,,
12,Tyler Larsen,2022,WSH,C,,,,,,,,,,,,0.0,
13,Anthony Chesley,2020,IND,CB,,,,,,,,,,,,,1.0
14,Rock Ya-Sin,2020,IND,CB,,,,,,,,,,,,,1.0
15,Jalen Ramsey,2020,LAR,CB,,,,,,,,,,,,,1.0
16,D.J. Reed,2020,SEA,CB,,,,,,,,,,,,,1.0
17,Ross Cockrell,2020,TB,CB,,,,,,,,,,,,,1.0
18,Elijah Molden,2020,TEN,CB,,,,,,,,,,,,,1.0
19,Jalen Davis,2021,CIN,CB,,,,,,,,,,,,,1.0
20,Chandon Sullivan,2021,MIN,CB,,,,,,,,,,,,,1.0
21,Kris Boyd,2021,MIN,CB,,,,,,,,,,,,,1.0
22,Avonte Maddox,2021,PHI,CB,,,,,,,,,,,,,1.0
23,Carlton Davis III,2021,TB,CB,,,,,,,,,,,,,1.0
24,Bobby Price,2022,ARI,CB,,,,,,,,,,,,,1.0
25,Kevon Seymour,2022,BAL,CB,,,,,,,,,,,,,1.0
26,Mike Ford,2022,CLE,CB,,,,,,,,,,,,,1.0
27,Carrington Valentine,2022,GB,CB,,,,,,9.0,,,,,,,1.0
28,Trent McDuffie,2022,KC,CB,92.0,68.0,,,,14.0,,,,5.0,1.0,,1.0
29,NaJee Thompson,2022,MIN,CB,,,,,,,,,,,,,1.0
30,Lonnie Johnson Jr.,2022,NO,CB,,,,,,,,,,,,,1.0
31,Bryce Hall,2022,NYJ,CB,,,,,,,,,,,,1.0,1.0
32,James Bradberry,2022,PHI,CB,,,,,,13.0,,,,,,,1.0
33,Ambry Thomas,2022,SF,CB,,,,,,,,,,,,,1.0
